company_name,funding_amount,founding_year,industry_focus,location,employee_count,nlp,computer_vision,robotics,generative_ai,recommendation_systems,forecasting,automation,growth_rate,customer_acquisition_cost,retention_rate,runway_months,cluster,cluster_name,pca_x,pca_y,defensibility_score,defensibility,saturation_score,saturation
SmartDecision,15800000,2017,Energy,Houston,102,0,0,0,0,1,1,1,45,1150,80,24,1,Analytics Platforms,1.5023177260112162,-1.7252663541951687,46.66666666666666,Medium defensibility,49.68302671710966,Moderately saturated
NLPMasters,4700000,2019,Customer Service,Dublin,33,1,0,0,1,0,0,1,63,840,76,17,4,Language Tech,-2.1512278536765015,0.5643727398952227,7.719298245614032,Low defensibility,58.24625406593216,Moderately saturated
VirtualAgent,11200000,2018,Real Estate,Sydney,71,1,1,0,0,1,0,0,51,1000,78,21,4,Language Tech,-0.41754094124476687,0.14709644523437704,30.526315789473685,Low defensibility,58.24625406593216,Moderately saturated
RoboHealth,20100000,2016,Healthcare,Berlin,131,0,1,1,0,0,1,0,41,1250,82,26,0,Enterprise Solutions,3.3891785979555618,0.788293599076566,61.754385964912274,Medium defensibility,39.481043743408925,Low saturation
PredictiveIQ,8200000,2018,Marketing,Paris,55,1,0,0,0,1,1,1,57,960,77,19,1,Analytics Platforms,-0.7479167578959781,-1.9880972949260798,20.0,Low defensibility,49.68302671710966,Moderately saturated
AIFactory,27800000,2015,Manufacturing,Tokyo,179,0,1,1,0,0,1,1,36,1400,85,32,0,Enterprise Solutions,5.495145697380777,0.42195802232608254,88.77192982456138,High defensibility,39.481043743408925,Low saturation
ContentGen,6800000,2020,Media,Amsterdam,40,1,0,0,1,1,0,0,85,910,71,15,4,Language Tech,-3.600009678498136,0.028640066434887493,15.087719298245617,Low defensibility,58.24625406593216,Moderately saturated
InsightEngine,16500000,2017,Analytics,Tel Aviv,109,1,0,0,0,1,1,0,47,1170,80,23,1,Analytics Platforms,0.77977965096032,-2.2158502828498747,49.122807017543856,Medium defensibility,49.68302671710966,Moderately saturated
CompVis,3400000,2019,Security,Stockholm,29,0,1,0,0,0,0,1,61,830,75,16,3,Visual AI,-1.223008085018014,1.9395592156256647,3.157894736842106,Low defensibility,55.0,Moderately saturated
AutomateNow,12300000,2018,IT,Bangalore,78,0,0,1,0,0,1,1,49,1020,79,22,1,Analytics Platforms,1.399977492099441,-0.12188252427154249,34.385964912280706,Low defensibility,49.68302671710966,Moderately saturated
LangLearn,5800000,2019,Education,Madrid,36,1,0,0,1,0,0,0,67,860,74,18,4,Language Tech,-2.579930917432645,0.7097146655395821,11.578947368421053,Low defensibility,58.24625406593216,Moderately saturated
IntelliFinance,19200000,2016,Finance,Zurich,128,0,0,0,1,1,1,0,44,1220,81,25,1,Analytics Platforms,1.467850044218154,-1.3470349314688503,58.596491228070185,Medium defensibility,49.68302671710966,Moderately saturated
VisualTech,7100000,2020,Retail,Milan,41,0,1,0,1,0,0,0,79,920,72,14,3,Visual AI,-2.5304934159752923,2.725983267406347,16.140350877192983,Low defensibility,55.0,Moderately saturated
DecisionBot,9800000,2018,Consulting,Montreal,61,1,0,0,0,0,1,1,55,970,78,20,1,Analytics Platforms,-0.21997850309565511,-1.0667587619115841,25.614035087719298,Low defensibility,49.68302671710966,Moderately saturated
RoboAssist,24700000,2015,Customer Service,Melbourne,167,0,0,1,0,1,0,1,38,1350,84,29,0,Enterprise Solutions,4.19834624696305,-0.701550284714561,77.89473684210525,High defensibility,39.481043743408925,Low saturation
DataPredict,4900000,2019,Insurance,Hong Kong,35,0,0,0,0,1,1,0,64,850,76,17,2,FinTech Innovators,-1.7172953147090355,-1.1205091843260078,8.421052631578945,Low defensibility,48.36360596289535,Moderately saturated
CreativeAI,9100000,2018,Design,Vancouver,58,1,0,0,1,1,0,0,60,940,77,19,4,Language Tech,-1.7928133765809466,-0.4895138266703087,23.157894736842106,Low defensibility,58.24625406593216,Moderately saturated
